Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2011-04-07,"Bench (Chest) Press, Machine",Strength,,,4,12,18.1,,
2011-04-07,Lat Pulldown,Strength,,,4,10,15.9,,
2011-04-07,Leg Press,Strength,,,5,10,22.7,,
2011-04-07,Machine Fly,Strength,,,4,12,13.6,,
2011-04-07,"Seated Row, Floor, Machine",Strength,,,4,12,18.1,,
2011-04-07,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,176.0,45,,,,,
2011-04-08,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,427.0,45,,,,,
2011-04-10,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,468.0,50,,,,,
2011-04-14,"Running (jogging), 10 mph (6 min mile)",Cardio,656.0,35,,,,,
2011-04-14,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,70.0,20,,,,,
2011-04-15,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,87.0,25,,,,,
2011-04-19,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,468.0,50,,,,,
2011-04-20,"Running (jogging), 10 mph (6 min mile)",Cardio,374.0,20,,,,,
2011-04-20,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,87.0,25,,,,,
2011-04-21,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,468.0,50,,,,,
2011-04-23,"Running (jogging), 10 mph (6 min mile)",Cardio,189.0,10,,,,,
2011-04-23,"Walking, 3.5 mph, brisk pace",Cardio,67.0,15,,,,,
2011-04-24,Pilates,Cardio,118.0,40,,,,,
2011-04-25,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,425.0,45,,,,,
2011-04-26,Pilates,Cardio,94.0,40,,,,,
2011-04-27,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,421.0,45,,,,,
2011-04-28,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,374.0,40,,,,,
2011-05-04,"Running (jogging), 10 mph (6 min mile)",Cardio,186.0,10,,,,,
2011-05-04,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,87.0,25,,,,,
2011-05-04,"Walking, 3.5 mph, brisk pace",Cardio,52.0,15,,,,,
2011-05-07,"Running (jogging), 7 mph (8.5 min mile)",Cardio,802.0,60,,,,,
2011-05-08,"Music playing, piano, organ, violin, trumpet",Cardio,349.0,120,,,,,
2011-05-10,"Running (jogging), 10 mph (6 min mile)",Cardio,335.0,18,,,,,
2011-05-11,"Running (jogging), 10 mph (6 min mile)",Cardio,279.0,15,,,,,
2011-05-11,"Walking, 3.5 mph, brisk pace",Cardio,104.0,30,,,,,
2011-05-12,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,325.0,35,,,,,
2011-05-12,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,87.0,25,,,,,
2011-05-15,"Music playing, piano, organ, violin, trumpet",Cardio,418.0,180,,,,,
2011-05-16,"Running (jogging), 10 mph (6 min mile)",Cardio,316.0,17,,,,,
2011-05-16,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,87.0,25,,,,,
2011-05-17,"Running (jogging), 7 mph (8.5 min mile)",Cardio,374.0,28,,,,,
2011-05-18,"Running (jogging), 10 mph (6 min mile)",Cardio,316.0,17,,,,,
