Date,Weight
2011-04-07,72.0
2011-04-09,70.3
2011-04-15,70.3
2011-04-21,71.0
2011-04-26,70.3
2011-04-28,69.8
2011-05-19,70.3
2011-05-22,69.8
2011-06-18,68.9
2011-07-08,68.0
2011-12-10,69.0
2014-04-09,70.5
2014-06-21,70.5
2014-07-20,69.6
2014-07-26,68.2
2014-08-09,68.1
2015-01-18,71.3
2015-01-31,70.3
2015-05-23,67.3
2015-10-05,71.0
2015-10-26,69.5
2015-12-06,70.0
2016-08-18,72.0
2016-08-22,72.0
2017-03-02,74.5
2018-04-18,78.2
2018-04-27,77.8
2018-05-12,77.8
2018-05-17,76.5
2018-05-23,77.8
2018-06-12,77.4
2018-06-18,76.7
2018-06-24,76.1
2018-07-01,76.5
2018-07-03,76.4
2018-07-14,75.8
2018-07-18,75.4
2018-07-25,76.2
2018-07-30,75.6
2018-08-04,75.4
2018-08-17,74.5
2018-08-22,75.0
2018-09-07,74.8
2018-11-04,75.0
2019-07-11,75.0
2019-07-12,78.0
2019-07-16,78.0
2019-07-24,77.0
2019-07-30,76.8
2019-08-01,76.5
2019-08-03,76.7
2019-08-06,76.2
2019-08-07,76.1
2019-08-10,75.8
2019-08-16,76.0
2019-08-19,76.2
2019-10-06,76.2
2019-10-30,77.0
2019-11-07,76.2
2019-11-20,76.9
2020-03-07,79.9
2020-03-16,79.5
2020-03-17,78.7
2020-04-06,77.5
2020-04-13,77.4
2020-04-17,77.3
2020-04-20,77.5
2020-04-23,77.3
2020-04-27,77.1
2020-05-05,77.0
2020-05-14,76.6
2020-05-17,76.4
2020-05-20,76.2
2020-05-25,76.0
2020-05-26,75.8
2020-07-09,77.0
2020-10-05,78.1
2021-01-21,80.4
2021-04-14,79.5
2021-04-21,79.9
