Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2018-04-15,Breakfast,257.1,6.6,3.3,0.9,1.8,0.0,0.0,299.0,474.7,44.9,3.2,4.8,5.7,0.0,1668.2,11.4,12.5,
2018-04-15,Lunch,389.0,16.8,4.8,0.0,0.9,0.0,0.0,134.7,284.4,26.6,4.4,4.9,35.0,10.8,133.2,3.6,2.7,
2018-04-15,Snacks,60.0,1.8,0.2,0.0,0.0,0.0,0.0,150.0,0.0,13.0,0.2,13.0,0.6,0.0,0.0,22.5,0.0,
2018-04-16,Breakfast,255.5,11.2,3.3,0.5,0.4,0.0,0.0,707.0,443.0,9.7,1.7,1.7,29.2,100.0,1668.0,0.6,17.2,
2018-04-16,Lunch,483.9,20.5,10.0,1.3,4.9,0.0,0.0,697.1,740.1,31.1,5.1,6.0,45.1,404.6,10.5,4.3,3.7,
2018-04-16,Dinner,627.2,6.0,2.1,1.2,1.7,0.2,85.0,513.2,540.4,86.3,11.3,1.6,52.7,11.2,135.2,7.1,27.5,
2018-04-16,Snacks,587.0,15.6,5.8,2.1,4.2,0.0,0.0,536.0,915.0,102.4,8.7,59.5,19.2,3.0,107.0,30.4,5.2,
2018-04-17,Breakfast,292.6,15.3,5.9,0.6,1.4,0.0,0.0,709.4,443.0,9.7,1.7,1.7,29.2,100.0,1668.0,0.6,17.2,
2018-04-17,Lunch,771.7,14.2,8.0,0.6,4.4,0.2,0.0,45.7,706.4,108.8,10.4,21.1,55.9,12.8,150.2,3.6,3.7,
2018-04-17,Dinner,456.3,11.3,5.7,1.0,1.2,0.0,85.0,991.9,876.0,35.3,2.8,5.8,44.3,0.4,45.0,3.5,11.8,
2018-04-17,Snacks,445.0,15.9,8.3,0.7,2.5,0.0,0.0,187.0,345.0,45.8,4.2,17.0,31.3,0.0,1.0,30.4,2.2,
2018-04-18,Breakfast,328.5,11.9,6.6,0.5,2.3,0.0,0.0,172.0,345.0,46.7,3.6,25.5,8.5,1.0,1668.0,13.4,2.2,
2018-04-18,Lunch,478.6,22.0,8.3,2.4,7.2,0.0,70.0,242.0,215.3,33.4,2.9,5.7,34.2,2.1,0.2,18.3,5.0,
2018-04-18,Dinner,489.5,18.1,8.2,1.1,4.0,0.0,0.0,545.4,1024.5,38.9,5.8,3.7,44.2,74.4,137.3,5.3,5.1,
2018-04-18,Snacks,528.0,23.0,9.2,1.8,4.2,0.0,422.0,533.0,148.0,56.3,4.2,26.4,28.3,11.0,8.0,19.8,11.0,
2018-04-19,Breakfast,279.9,11.6,3.4,0.5,0.6,0.0,0.0,707.0,443.0,9.8,1.7,1.8,34.3,0.0,1668.0,0.6,17.2,
2018-04-19,Lunch,643.6,27.0,11.4,2.6,8.4,0.0,70.0,228.0,637.3,63.1,5.8,22.3,37.6,4.1,17.2,9.8,6.0,
2018-04-19,Dinner,466.7,16.8,7.9,1.1,4.0,0.0,0.0,545.4,1506.3,31.8,4.9,4.2,42.4,74.4,172.3,6.9,9.8,
2018-04-19,Snacks,442.0,14.0,5.6,2.1,4.2,0.0,0.0,435.0,493.0,66.7,5.6,36.8,17.8,1.0,90.0,14.4,3.2,
2018-04-20,Breakfast,265.3,11.3,3.3,0.5,0.5,0.0,0.0,707.0,443.0,9.7,1.7,1.7,31.2,0.0,1668.0,0.6,17.2,
2018-04-20,Lunch,407.8,9.6,5.0,0.1,3.1,0.0,0.0,169.7,284.4,30.6,5.3,6.5,52.3,10.8,133.2,3.6,2.7,
2018-04-20,Dinner,423.5,5.8,1.6,1.0,1.5,0.0,85.0,76.0,256.0,36.9,7.0,0.3,42.6,0.4,2.0,3.5,24.8,
2018-04-20,Snacks,560.0,18.6,8.4,2.3,5.3,0.0,0.0,356.0,915.0,95.2,8.2,52.1,11.6,3.0,107.0,32.4,5.2,
2018-04-21,Breakfast,280.1,14.9,5.7,0.4,1.0,0.0,0.0,804.4,443.0,17.9,2.8,2.1,18.4,0.0,1668.0,0.6,17.2,
2018-04-21,Lunch,357.4,5.7,2.2,0.1,1.9,0.0,0.0,29.7,284.4,34.7,5.3,2.6,43.3,10.8,133.2,3.6,2.7,
2018-04-21,Dinner,491.1,27.5,4.5,0.7,4.1,0.0,0.0,142.7,796.2,27.7,2.9,3.4,35.5,4.8,69.8,2.8,7.1,
2018-04-21,Snacks,707.5,25.4,13.3,2.4,6.6,0.0,0.0,411.0,767.0,78.7,6.1,28.1,44.8,2.0,18.0,18.6,4.2,
2018-04-22,Breakfast,294.5,10.9,6.5,0.5,2.3,0.0,0.0,87.0,345.0,39.3,3.5,18.1,8.2,101.0,1668.0,0.6,2.2,
2018-04-22,Lunch,452.5,5.3,0.1,0.0,0.0,0.0,0.0,212.5,575.0,37.3,5.4,6.9,8.2,0.0,0.0,0.0,0.0,
2018-04-22,Dinner,289.8,2.0,0.8,0.6,0.2,0.2,0.0,679.7,766.2,28.5,3.9,4.3,43.2,10.8,168.2,5.2,7.4,
2018-04-22,Snacks,1007.0,42.9,4.0,3.9,31.6,0.0,0.0,1407.0,4225.0,143.8,4.5,15.4,13.5,0.0,1.0,13.4,2.2,
2018-04-23,Breakfast,279.9,11.6,3.4,0.5,0.6,0.0,0.0,707.0,443.0,9.8,1.7,1.8,34.3,100.0,1668.0,0.6,17.2,
2018-04-23,Lunch,609.7,27.9,6.5,0.1,1.0,0.0,0.0,562.7,0.0,45.2,4.5,7.0,44.5,238.7,4.5,1.8,0.9,
2018-04-23,Dinner,367.5,8.8,4.0,1.0,1.2,0.0,85.0,137.6,1022.2,35.1,4.7,7.0,37.7,11.2,168.2,6.7,13.2,
2018-04-23,Snacks,616.0,16.8,7.0,0.7,2.5,0.0,0.0,553.0,915.0,110.3,10.9,49.0,13.3,3.0,26.0,45.2,5.2,
2018-04-26,Breakfast,255.5,11.2,3.3,0.5,0.4,0.0,0.0,707.0,443.0,9.7,1.7,1.7,29.2,100.0,1668.0,0.6,17.2,
2018-04-26,Lunch,319.8,4.6,1.1,0.3,1.2,0.0,0.0,629.4,341.2,18.0,5.7,4.4,38.5,281.2,112.5,5.7,3.2,
2018-04-26,Dinner,578.8,12.4,7.2,1.0,2.7,0.2,0.0,711.2,903.8,63.3,9.0,25.8,55.9,1.0,52.0,18.6,5.7,
2018-04-26,Snacks,648.0,19.9,6.4,0.4,0.3,0.0,0.0,407.8,493.0,101.0,9.2,27.8,20.9,1.0,9.0,14.4,3.2,
2018-04-27,Breakfast,410.0,24.2,8.5,0.5,2.3,0.0,0.0,146.3,345.0,35.3,4.9,14.4,11.9,101.0,1668.0,13.4,2.2,
2018-04-27,Lunch,666.0,32.5,9.9,0.3,2.3,0.0,0.0,169.4,643.2,58.2,6.6,21.5,40.4,10.4,120.6,2.8,3.1,
2018-04-27,Dinner,414.9,10.8,2.2,1.5,5.3,0.0,85.0,86.4,570.4,39.9,4.6,7.1,38.5,5.2,34.8,2.7,8.2,
2018-04-27,Snacks,614.0,20.5,7.0,0.4,0.3,0.0,330.0,667.6,465.0,64.8,3.7,12.8,30.0,8.0,1.0,17.4,10.2,
2018-05-08,Breakfast,436.0,16.5,2.8,0.4,0.1,0.0,0.0,131.5,345.0,56.1,5.9,33.3,16.2,0.0,1668.0,33.4,2.2,
2018-05-08,Lunch,418.6,17.4,5.3,2.3,6.1,0.0,70.0,212.0,215.3,30.8,2.7,3.2,32.2,2.1,0.2,9.8,5.0,
2018-05-08,Dinner,312.5,4.3,1.9,0.2,2.1,0.0,0.0,0.3,481.8,22.9,2.5,3.6,45.4,0.0,35.0,1.6,4.7,
2018-05-08,Snacks,577.5,19.5,2.5,3.9,9.3,0.0,0.0,642.4,693.0,73.4,8.7,28.0,23.3,1.0,9.0,22.4,9.2,
2018-05-09,Breakfast,255.5,11.2,3.3,0.5,0.4,0.0,0.0,707.0,443.0,9.7,1.7,1.7,29.2,0.0,1668.0,0.6,17.2,
2018-05-09,Snacks,529.0,18.9,2.4,3.9,9.3,0.0,0.0,547.4,693.0,64.8,7.6,27.2,21.1,1.0,9.0,22.4,9.2,
2018-05-12,Breakfast,255.9,14.6,5.7,0.4,1.0,0.0,0.0,756.9,443.0,13.6,2.3,1.7,17.3,0.0,1668.0,0.6,17.2,
2018-05-12,Lunch,327.1,5.4,2.0,0.1,1.9,0.0,0.0,23.2,221.2,28.8,3.3,2.4,42.1,8.4,103.6,2.8,2.1,
